StudentID,Age,Gender,StudyHoursPerDay,AttendanceRate,MotivationLevel,StressLevel,InternetAccess,Resources,EduTechUsage,OnlineCourses,Discussions,AssignmentCompletion,LearningStyle,ExamScore,FinalGrade
1,28,Male,6.7,79.7,4,3,No,High,No,4,5,84.8,Auditory,72.4,C
2,30,Female,14.6,67.5,9,7,Yes,Low,Yes,2,0,41.6,Reading/Writing,80.9,B
3,23,Female,2.8,95.9,2,9,Yes,Low,No,5,4,74.8,Visual,65.8,C
4,27,Female,19.0,65.4,9,4,No,High,Yes,3,6,43.6,Visual,100,A
5,25,Male,13.9,88.7,3,6,Yes,Low,Yes,4,2,82.5,Visual,91.6,A
6,21,Female,3.0,73.0,10,1,No,Low,No,4,3,46.1,Kinesthetic,71.2,C
7,28,Female,8.9,66.3,2,4,Yes,Low,No,1,1,72.5,Reading/Writing,67.2,C
8,22,Female,17.9,73.1,10,2,Yes,High,Yes,0,9,88.8,Kinesthetic,100,A
9,30,Female,3.6,81.4,1,5,Yes,High,No,5,4,62.9,Reading/Writing,67.5,C
10,18,Female,3.9,62.0,10,7,Yes,High,No,3,1,93.8,Auditory,78.6,B
11,20,Female,14.7,78.4,2,3,Yes,High,No,5,0,50.3,Auditory,81.7,B
12,26,Male,11.4,81.4,6,3,No,High,Yes,2,0,97.9,Visual,98.3,A
13,18,Female,8.5,73.5,10,10,Yes,Low,Yes,3,10,92.7,Reading/Writing,89.1,B
14,18,Female,14.2,59.5,7,1,Yes,Low,Yes,0,1,72.3,Reading/Writing,86.2,B
15,21,Male,14.9,93.1,1,6,No,Low,Yes,3,9,66.5,Visual,86.8,B
16,18,Female,14.8,75.5,7,5,No,High,No,0,7,44.9,Auditory,90.5,A
17,28,Female,8.3,67.5,2,1,No,High,Yes,1,9,98.3,Auditory,82.3,B
18,23,Female,13.6,93.4,6,1,No,High,No,4,6,98.4,Auditory,100,A
19,21,Female,7.3,98.5,10,1,No,Low,Yes,4,8,55.0,Auditory,96.1,A
20,24,Female,8.7,77.5,2,6,Yes,High,Yes,5,10,58.8,Visual,74.4,C
21,22,Male,16.2,95.6,4,4,No,High,Yes,5,4,78.1,Auditory,100,A
22,20,Female,16.3,66.9,8,2,No,Low,Yes,0,4,42.5,Kinesthetic,88.1,B
23,27,Male,3.2,85.7,10,5,Yes,High,No,4,6,41.2,Kinesthetic,84.5,B
24,20,Male,14.7,88.1,5,7,Yes,High,Yes,2,8,98.8,Auditory,95.2,A
25,26,Male,14.5,63.6,9,2,No,High,No,3,2,53.1,Reading/Writing,98.5,A
26,26,Male,2.9,98.0,1,1,No,Low,No,2,4,83.5,Kinesthetic,64.2,C
27,20,Male,5.4,66.0,5,8,No,Low,No,0,7,99.6,Reading/Writing,66.1,C
28,27,Female,13.0,70.4,6,4,No,Low,Yes,0,1,89.5,Kinesthetic,88.5,B
29,22,Female,3.8,95.2,7,8,No,High,No,4,3,99.8,Kinesthetic,74.7,C
30,24,Female,7.6,90.0,7,3,No,High,Yes,5,7,91.7,Visual,90.5,A
31,27,Female,2.8,69.1,8,9,Yes,Low,Yes,3,6,44.2,Auditory,62.9,C
32,21,Male,7.2,79.6,8,8,Yes,Low,No,4,2,56.6,Visual,78.3,B
33,24,Female,9.0,96.2,1,10,Yes,High,Yes,2,2,93.8,Reading/Writing,84.5,B
34,27,Female,15.6,82.3,5,2,No,High,No,2,10,43.4,Visual,95.6,A
35,24,Female,4.5,51.7,5,10,Yes,High,No,0,8,62.6,Kinesthetic,56.4,D
36,25,Female,14.5,96.1,8,3,Yes,Low,Yes,1,7,73.7,Kinesthetic,100,A
37,20,Female,7.6,75.9,6,8,Yes,Low,No,0,1,81.1,Visual,76.4,B
38,25,Female,14.7,78.4,8,2,Yes,High,No,5,9,99.9,Auditory,100,A
39,27,Male,13.6,80.5,5,8,Yes,Low,No,2,7,42.9,Reading/Writing,77.0,B
40,22,Male,19.9,67.2,2,6,No,High,No,0,1,69.2,Kinesthetic,85.9,B
41,20,Female,8.1,93.9,1,8,Yes,Low,No,4,0,65.9,Reading/Writing,72.5,C
42,28,Female,10.1,54.7,9,8,No,High,No,0,9,40.0,Reading/Writing,77.7,B
43,26,Male,11.1,84.3,1,2,Yes,Low,No,0,10,68.5,Visual,87.8,B
44,20,Female,12.5,76.3,9,7,No,Low,Yes,5,2,78.2,Auditory,84.6,B
45,20,Male,7.7,85.1,2,5,Yes,Low,No,0,0,68.5,Kinesthetic,67.9,C
46,28,Male,12.5,77.7,3,10,No,Low,Yes,3,0,89.0,Auditory,80.5,B
47,18,Male,16.6,93.0,5,10,Yes,Low,No,3,3,83.4,Reading/Writing,95.8,A
48,18,Female,15.7,64.6,5,9,Yes,Low,Yes,4,1,67.4,Visual,81.7,B
49,26,Male,3.3,57.3,7,5,Yes,High,Yes,5,4,90.9,Reading/Writing,67.5,C
50,30,Female,3.3,78.3,6,5,No,Low,Yes,5,4,73.1,Auditory,69.1,C
51,23,Female,6.9,91.8,6,10,Yes,Low,No,3,10,96.4,Auditory,89.2,B
52,20,Female,18.2,54.8,8,4,Yes,High,Yes,0,1,63.6,Auditory,88.4,B
53,23,Female,9.6,89.2,8,2,No,Low,No,3,0,94.2,Kinesthetic,93.8,A
54,26,Male,3.9,93.7,1,8,Yes,Low,Yes,4,8,48.3,Reading/Writing,65.1,C
